"","0","1","2","3","4"
"237","0200182","岩手県","盛岡市","みたけ","2丁目22-50"
"238","0200184","岩手県","盛岡市","青山","4丁目10-5"
"239","0200185","岩手県","盛岡市","上堂","1丁目19-55"
"240","0200187","岩手県","盛岡市","みたけ","1丁目6-30"
"241","0200196","岩手県","盛岡市","みたけ","3丁目38-20"
"242","0200198","岩手県","盛岡市","下厨川","字赤平4"
"243","0200495","岩手県","盛岡市","黒川","23地割70-1"
"244","0200496","岩手県","盛岡市","乙部","5-146"
"245","0200592","岩手県","岩手郡雫石町","町裏","75番地1"
"246","0200593","岩手県","岩手郡雫石町","","高倉温泉"
"247","0200595","岩手県","岩手郡雫石町","千刈田","5番地1"
"248","0200596","岩手県","岩手郡雫石町","板橋","61番地1"
"249","0200690","岩手県","滝沢市","土沢","220-3"
"250","0200691","岩手県","滝沢市","土沢","220-5"
"251","0200692","岩手県","滝沢市","中鵜飼","55"
"252","0200693","岩手県","滝沢市","巣子","152-52"
"253","0200694","岩手県","滝沢市","砂込","808"
"254","0200698","岩手県","滝沢市","外山","309"
"255","0208501","岩手県","盛岡市","愛宕下","1-10"
"256","0208502","岩手県","盛岡市","三本柳","10-22-1"
"257","0208504","岩手県","盛岡市","本町通","3丁目8-37盛岡税務署内"
"258","0208505","岩手県","盛岡市","内丸","19番1号"
"259","0208507","岩手県","盛岡市","清水町","14-12"
"260","0208508","岩手県","盛岡市","中央通","1丁目7-25朝日生命盛岡中央通ビル"
"261","0208510","岩手県","盛岡市","山王町","4-1"
"262","0208511","岩手県","盛岡市","松尾町","17-13"
"263","0208512","岩手県","盛岡市","内丸","2番10号-7階"
"264","0208513","岩手県","盛岡市","中ノ橋通","1丁目5-23"
"265","0208515","岩手県","盛岡市","上田","3丁目2-1"
"266","0208518","岩手県","盛岡市","盛岡駅前通","1番44号"
"267","0208520","岩手県","盛岡市","内丸","9-1"
"268","0208521","岩手県","盛岡市","紺屋町","1番25号"
"269","0208522","岩手県","盛岡市","盛岡駅西通","1丁目9番15号盛岡第二合同庁舎5F"
"270","0208523","岩手県","盛岡市","盛岡駅西通","一丁目9番15号盛岡第2合同庁舎6階"
"271","0208525","岩手県","盛岡市","内丸","2-5"
"272","0208526","岩手県","盛岡市","紺屋町","1番25号"
"273","0208527","岩手県","盛岡市","紺屋町","1番25号"
"274","0208530","岩手県","盛岡市","内丸","12-2"
"275","0208531","岩手県","盛岡市","若園町","2-18"
"276","0208532","岩手県","盛岡市","津志田","14地割37-2"
"277","0208533","岩手県","盛岡市","盛岡駅前通","1-41"
